company_name,location,location_type,sales,url,phone_number
Zhejiang Xinghe Group Co.,Zhejiang(China),Headquarters,23338581968,www.zjxinghe.com,57187032510.0
"Jizhong Energy Group Co.,Ltd.",Hebei(China),Headquarters,23174676176,www.jznyjt.com,3192068368.0
"Syngenta Group Co., Ltd.",Shanghai(China),Headquarters,23087439622,agr.chemchina.com,1059568957.0
"China Pingmei Shenma Energy And Chemicals Group Co.,Ltd",Henan(China),Headquarters,23053165053,www.pmjt.com.cn,3752785603.0
China National Aviation Fuel Group Limited,Beijing(China),Headquarters,22989581624,www.cnaf.com,1059890000.0
"Zhongshan Xingweicheng Packaging Material Co.,Ltd.",Guangdong(China),Headquarters,22902027891,www.zsfoam.com,76022816082.0
"Shenzhen Zhengwei (Group) Co., Ltd.",Guangdong(China),Headquarters,22848320771,www.amer.com.cn,75582785868.0
"Industrial Bank Co.,Ltd.",Fujian(China),Headquarters,22801242350,www.cib.com.cn,
Tongzhou District Tongyun Industry Group Company,Beijing(China),Headquarters,22793500000,,
"Wanhua Chemical Group Co., Ltd.",Shandong(China),Headquarters,22765025492,www.whchem.com,5353031588.0
"China Nonferrous Metal Mining (Group) Co.,Ltd.",Beijing(China),Headquarters,22605440176,www.cnmc.com.cn,1084426003.0
"Yibin State Owned Assets Management Co.,Ltd",Sichuan(China),Headquarters,22458889027,gzgs.yibin.gov.cn,8312332548.0
New China Life Insurance Company Ltd.,Beijing(China),Headquarters,22207756350,www.newchinalife.com,1085213233.0
"Zhuhai Huafa Group Co.,Ltd",Guangdong(China),Headquarters,22202652107,www.huafagroup.com,7568136333.0
China Construction First Group Corporation Limited,Beijing(China),Headquarters,22174051648,www.cscec1b.net,1083982222.0
"Beijing Urban Construction Group Co., Ltd.",Beijing(China),Headquarters,21991624790,www.bucg.com,
Sany Group Company Limited,Hunan(China),Headquarters,21941754183,www.sanygroup.com,73184031888.0
"Yunnan Provincial Energy Investment Group Co.,Ltd",Yunnan(China),Headquarters,21898137718,www.cnyeig.com,87164981111.0
Huayu Automotive Systems Company Limited,Shanghai(China),Headquarters,21890062379,www.hasco-group.com,2163848484.0
"Suning.Com Co.,Ltd.",Jiangsu(China),Headquarters,21727416394,www.suning.cn,2584418888.0
